Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031224903445,800000031223773600,161,12,CASH,Sami,AM,0.00,9.88,Front Box Cash Drawer,10/26/25 12:08 PM,10/26/25 11:50 AM
800000031224911130,800000031224626971,169,,CREDIT,Martina,Martina,2.00,11.90,,10/26/25 12:08 PM,10/26/25 12:04 PM
800000031225045171,800000031224654179,172,,CREDIT,Martina,Martina,0.00,32.43,,10/26/25 12:10 PM,10/26/25 12:04 PM
800000031225303320,800000031225034571,175,,CREDIT,Martina,Martina,0.00,18.27,,10/26/25 12:14 PM,10/26/25 12:10 PM
800000031225466438,800000031225197356,176,,CREDIT,Martina,Martina,0.58,20.42,,10/26/25 12:17 PM,10/26/25 12:12 PM
800000031225538895,800000031223704234,157,6,CREDIT,samantha,AM,10.00,50.06,,10/26/25 12:18 PM,10/26/25 11:49 AM
800000031225653385,800000031223739426,152,,CREDIT,Martina,Martina,1.00,11.66,,10/26/25 12:19 PM,10/26/25 11:49 AM
800000031225723518,800000031225459819,180,,CREDIT,Martina,Martina,0.00,13.78,,10/26/25 12:20 PM,10/26/25 12:16 PM
800000031225797346,800000031225642384,181,,CREDIT,Martina,Martina,1.00,18.54,,10/26/25 12:22 PM,10/26/25 12:19 PM
800000031225946268,800000031225779935,183,,CREDIT,Martina,Martina,2.00,26.65,,10/26/25 12:24 PM,10/26/25 12:21 PM
800000031226335931,800000031223622404,155,1,CREDIT,Sami,AM,10.00,54.68,,10/26/25 12:30 PM,10/26/25 11:48 AM
800000031226385805,800000031226016457,185,,CREDIT,Martina,Martina,2.00,6.46,,10/26/25 12:31 PM,10/26/25 12:25 PM
800000031226396382,800000031224747288,174,7,CREDIT,samantha,AM,2.00,16.70,,10/26/25 12:31 PM,10/26/25 12:06 PM
800000031226457865,800000031226456493,195,,CASH,Martina,Martina,0.00,2.98,Drive Thru Cash Drawer,10/26/25 12:32 PM,10/26/25 12:32 PM
800000031226479435,800000031226326754,190,,CREDIT,Martina,Martina,2.00,4.31,,10/26/25 12:32 PM,10/26/25 12:30 PM
800000031226569337,800000031226396700,173,,CASH,Martina,Martina,0.00,18.87,Drive Thru Cash Drawer,10/26/25 12:33 PM,10/26/25 12:31 PM
800000031226604638,800000031224099572,166,19,CREDIT,samantha,AM,2.00,33.10,,10/26/25 12:34 PM,10/26/25 11:55 AM
800000031226607079,800000031226424531,192,,CREDIT,Martina,Martina,0.00,23.57,,10/26/25 12:34 PM,10/26/25 12:31 PM
800000031226778547,800000031226754259,198,,CREDIT,AM,AM,0.00,7.57,,10/26/25 12:37 PM,10/26/25 12:36 PM
800000031226831635,800000031226448436,193,,CREDIT,Martina,Martina,0.00,15.13,,10/26/25 12:38 PM,10/26/25 12:32 PM
800000031226966521,800000031226637120,196,,CASH,Martina,Martina,0.00,8.36,Drive Thru Cash Drawer,10/26/25 12:40 PM,10/26/25 12:35 PM
800000031227002327,800000031226842670,200,,CASH,Martina,Martina,0.00,6.46,Drive Thru Cash Drawer,10/26/25 12:40 PM,10/26/25 12:38 PM
800000031227654843,800000031226082524,188,15,CREDIT,samantha,AM,0.00,28.83,,10/26/25 12:50 PM,10/26/25 12:26 PM
800000031228267868,800000031228069248,191,,CASH,Martina,Martina,0.00,11.31,Drive Thru Cash Drawer,10/26/25 1:00 PM,10/26/25 12:57 PM
800000031228376609,800000031228206334,202,,CREDIT,Martina,Martina,0.00,30.00,,10/26/25 1:02 PM,10/26/25 12:59 PM
800000031228384530,800000031228206334,202,,CASH,Martina,Martina,0.00,24.18,Drive Thru Cash Drawer,10/26/25 1:02 PM,10/26/25 12:59 PM
800000031228484777,800000031228353538,205,,CASH,Martina,Martina,0.00,9.50,Drive Thru Cash Drawer,10/26/25 1:04 PM,10/26/25 1:02 PM
800000031228692736,800000031228409719,206,,CASH,Martina,Martina,0.00,14.67,Drive Thru Cash Drawer,10/26/25 1:07 PM,10/26/25 1:02 PM
800000031228940940,800000031228509328,207,,CASH,Martina,Martina,0.00,33.26,Drive Thru Cash Drawer,10/26/25 1:11 PM,10/26/25 1:04 PM
800000031228981761,800000031228943290,210,3,CREDIT,Sami,AM,4.50,23.25,,10/26/25 1:12 PM,10/26/25 1:11 PM
800000031229062619,800000031225431475,179,8,CREDIT,samantha,AM,0.00,18.63,,10/26/25 1:13 PM,10/26/25 12:16 PM
800000031229127911,800000031228628392,208,,CREDIT,Martina,Martina,2.00,28.61,,10/26/25 1:14 PM,10/26/25 1:06 PM
800000031229126294,800000031226038760,184,3,CREDIT,Sami,AM,10.00,27.27,,10/26/25 1:14 PM,10/26/25 12:25 PM
800000031229224338,800000031226171393,187,25,CREDIT,Sami,AM,10.00,58.92,,10/26/25 1:15 PM,10/26/25 12:27 PM
800000031229240527,800000031228822624,204,,CREDIT,Martina,Martina,0.00,29.26,,10/26/25 1:16 PM,10/26/25 1:09 PM
800000031229289901,800000031229205968,214,,CREDIT,Martina,Martina,0.00,18.39,,10/26/25 1:17 PM,10/26/25 1:15 PM
800000031230006195,800000031228212631,203,14,CREDIT,Sami,AM,6.00,41.83,,10/26/25 1:28 PM,10/26/25 12:59 PM
800000031230059764,800000031229927748,218,,CREDIT,Martina,Martina,0.00,16.52,,10/26/25 1:29 PM,10/26/25 1:27 PM
800000031230071731,800000031230068754,221,,CREDIT,AM,AM,1.03,12.97,,10/26/25 1:30 PM,10/26/25 1:29 PM
800000031230236687,800000031224642032,171,5,CASH,Sami,AM,0.00,13.60,Front Box Cash Drawer,10/26/25 1:32 PM,10/26/25 12:04 PM
